"dataset","country","model","obs","samples","test_size","strategy","true","pred","pred_median","std","skewness","kurtosis","mse","mse_median","smape","smape_median","r2","r2_median"
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",1000,4,"ro",128.7307,133.187198471069,133.606094360352,1.74287781715805,-0.0154353822833663,-0.596362301511629,11.3531706381332,11.0365248987524,2.32143257813979,2.25210053104218,0.142740325958363,0.166649736992542
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",1000,5,"ro",124.7449,126.251851341248,126.44654083252,2.02418317101757,-0.0335409500091143,-0.781243600981921,9.53671697948414,9.40833622358145,2.0973007789685,2.07265157367222,0.613975285085542,0.619171847466963
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",1000,1,"sa",138.9813,143.116594451904,142.707565307617,1.80017698967518,0.0493951890969255,-0.643516552274205,17.1006602039504,13.8850531427514,2.93181518418552,2.64566034837616,-Inf,-Inf
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",1000,2,"sa",134.6643,142.444261505127,142.707565307617,2.68096876583788,0.0412999870197922,-0.128148081125658,38.8142306126038,39.2895849757348,4.27345762334035,4.22264313780531,-7.33080321354599,-7.43282980517085
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",1000,3,"sa",134.1667,141.663390625,141.702575683594,3.40524314904715,0.00203634547272018,-0.258815688778404,44.6096105173902,45.1228640900164,4.66088202259705,4.63621780642803,-8.54455183933562,-8.65436618816849
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",1000,4,"sa",128.7307,140.834280593872,140.697601318359,4.12537389654531,0.00473792877980171,-0.161649163325507,70.0813736861318,69.6438298583501,5.74068247019011,5.69795850881993,-4.29173192912055,-4.25869369767504
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-base",1000,5,"sa",124.7449,140.123758499146,139.692611694336,4.86066478375358,0.00396449674517274,-0.161710225855245,103.366956696253,100.401880866078,6.91503419900012,6.81942449112824,-3.18406041367128,-3.06404085615419
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-large",30,1,"ro",138.9813,143.310556030273,143.712539672852,2.05452957909758,-0.338011457272494,-0.843024222910419,18.7424577756588,22.3846288419645,3.06721992703123,3.34725346567637,-Inf,-Inf
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-large",30,2,"ro",134.6643,137.950712585449,137.716156005859,1.95212384263436,0.55555838883062,-0.390835361943151,14.771482728729,15.8492269612322,2.73912412588007,2.79406542018428,-2.17044325864789,-2.40176241592119
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-large",30,3,"ro",134.1667,134.391034444173,134.65901184082,1.86484117076835,-0.780003687889159,0.259810714181473,9.8644304667668,10.6469416236921,1.88177144502145,1.98479975275282,-1.11056691290488,-1.27799088759349
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-large",30,4,"ro",128.7307,133.840495808919,133.606094360352,1.93290503549982,-0.0118767059819877,-0.976201905798258,13.9258261522873,13.927573760006,2.38435911614744,2.41782409136481,-0.0515167584967471,-0.0516487175477536
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-large",30,5,"ro",124.7449,126.814505259196,126.44654083252,2.01543386225096,0.0776013124511287,-0.372213818193183,11.9973141076081,11.7211753125844,2.23657143223901,2.20523042193033,0.514375883431203,0.525553356754065
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-large",30,1,"sa",138.9813,143.411053975423,143.712539672852,1.83136282505587,-0.162604045206448,-0.571626929913684,19.6227202827775,22.3846288419645,3.13730447235034,3.34725346567637,-Inf,-Inf
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-large",30,2,"sa",134.6643,142.841567484538,143.210052490234,2.971124661813,-0.381137177813339,-0.512595971105867,43.245211898228,47.7072572331558,4.51535298836499,4.74902840760581,-8.28183670180105,-9.23953755091008
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-large",30,3,"sa",134.1667,142.607071940104,142.707565307617,4.2420834497642,-0.376713758135496,0.146480277278057,52.576767427918,56.1202982230569,5.04327284473647,5.222515665809,-10.2491832239788,-11.0073475068815
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-large",30,4,"sa",128.7307,142.406076558431,142.707565307617,5.21971204684438,-0.55102913720767,0.495173473583087,86.1865565746593,90.9284146241108,6.30431403086725,6.49148051412632,-5.50780841325505,-5.8658584959492
"n2o","germany","chronos-zeroshot","amazon/chronos-t5-large",30,5,"sa",124.7449,141.87008412679,142.205070495605,6.12208836481919,-0.129054321335913,0.0976606980495998,127.603631535022,133.714242446411,7.6127267937888,7.8094305136235,-4.16510614620555,-4.41244984321329
